v8-version,4,9,385,28,0
code-creation,Builtin,4,0x2c1ef00,106,"InterpreterPushArgsAndConstruct"
code-creation,Builtin,4,0x2c1ef80,141,"InterpreterNotifyDeoptimized"
code-creation,Builtin,4,0x2c1f020,141,"InterpreterNotifySoftDeoptimized"
code-creation,Builtin,4,0x2c1f0c0,141,"InterpreterNotifyLazyDeoptimized"
code-creation,Builtin,4,0x2c1f160,85,"LoadIC_Miss"
code-creation,Builtin,4,0x2c1f1c0,85,"KeyedLoadIC_Miss"
code-creation,Builtin,4,0x2c1f220,87,"StoreIC_Miss"
code-creation,Builtin,4,0x2c1f280,87,"KeyedStoreIC_Miss"
code-creation,Builtin,7,0x2c1f2e0,80,"LoadIC_Getter_ForDeopt"
code-creation,Stub,2,0x2c1f340,740,"NameDictionaryLookupStub"
code-creation,Builtin,8,0x2c1f640,881,"KeyedLoadIC_Megamorphic"
code-creation,Builtin,8,0x2c1f9c0,876,"KeyedLoadIC_Megamorphic_Strong"
code-creation,Builtin,10,0x2c1fd40,82,"StoreIC_Setter_ForDeopt"
code-creation,Builtin,11,0x2c1fda0,87,"KeyedStoreIC_Initialize"
code-creation,Builtin,11,0x2c1fe00,87,"KeyedStoreIC_PreMonomorphic"
code-creation,Stub,2,0x2c1fe60,1149,"RecordWriteStub"
code-creation,Stub,2,0x2c202e0,1129,"RecordWriteStub"
code-creation,Stub,2,0x2c20760,459,"RecordWriteStub"
code-creation,Stub,2,0x2c20940,1129,"RecordWriteStub"
code-creation,Stub,2,0x2c20dc0,1120,"RecordWriteStub"
code-creation,Builtin,11,0x2c21220,2721,"KeyedStoreIC_Megamorphic"
code-creation,Builtin,11,0x2c21ce0,87,"KeyedStoreIC_Initialize_Strict"
code-creation,Builtin,11,0x2c21d40,87,"KeyedStoreIC_PreMonomorphic_Strict"
code-creation,Builtin,11,0x2c21da0,2721,"KeyedStoreIC_Megamorphic_Strict"
code-creation,Builtin,4,0x2c22860,178,"DatePrototypeGetDate"
code-creation,Builtin,4,0x2c22920,178,"DatePrototypeGetDay"
code-creation,Builtin,4,0x2c229e0,178,"DatePrototypeGetFullYear"
code-creation,Builtin,4,0x2c22aa0,178,"DatePrototypeGetHours"
code-creation,Builtin,4,0x2c22b60,161,"DatePrototypeGetMilliseconds"
code-creation,Builtin,4,0x2c22c20,178,"DatePrototypeGetMinutes"
code-creation,Builtin,4,0x2c22ce0,178,"DatePrototypeGetMonth"
code-creation,Builtin,4,0x2c22da0,178,"DatePrototypeGetSeconds"
code-creation,Builtin,4,0x2c22e60,118,"DatePrototypeGetTime"
code-creation,Builtin,4,0x2c22ee0,161,"DatePrototypeGetTimezoneOffset"
